-40;-50;-40;10;10;-10;-110;-20;10;-10;0;0;-30;-60;60;10;-30;-20;-10;10;30;-30;80;30;20;10;-10;-30;-40;40;-50;-10;30;10;0;-10;-40;150;-120;240;;;;;;;;;;;;;;;;;;;;;;;;;
10;10;20;0;-60;-90;10;-20;-20;-30;-40;-30;-30;50;40;0;10;10;-10;10;10;20;90;30;0;0;-20;-20;20;30;0;-60;0;-10;-10;-40;-40;-10;0;40;0;10;-20;0;10;90;-130;-70;-20;0;0;20;60;0;-70;10;20;-20;20;-50;-60;-20;-20;-170;
-10;0;-10;-30;40;30;20;80;-20;-10;0;0;-20;-50;-10;-20;0;-10;10;10;50;40;-20;-60;-10;10;0;40;20;-30;-10;60;0;30;50;30;60;0;60;-20;-10;-10;-30;-10;-60;-130;-80;30;0;0;-10;-10;20;10;-110;0;-10;-10;-20;0;-10;-50;130;-40;
10;0;30;40;20;-30;30;50;10;10;20;20;80;120;80;-50;10;0;0;10;0;-20;110;20;-10;-10;10;20;90;40;-170;10;-10;-30;-30;-30;-20;20;20;-50;0;-20;10;-30;0;-10;-10;20;0;0;0;-10;50;70;-130;-40;-20;10;10;0;-10;20;20;50;
-40;-20;-30;-10;-60;-50;20;-20;10;10;10;-20;20;-80;-30;-20;20;10;30;40;-90;20;70;10;0;-10;-20;-70;-40;-200;-70;20;-10;0;-20;60;-10;-80;50;-10;0;0;-10;10;0;10;-90;20;-10;-20;-10;30;70;30;30;80;0;-10;0;-10;0;-10;30;-50;
0;-10;-20;10;-30;-30;40;10;-10;-20;-20;-10;40;30;40;-90;20;10;-10;-40;-50;-20;110;0;0;10;-50;-30;-40;-70;-50;10;-10;-30;-20;0;80;40;10;-60;10;10;-10;-30;-90;-30;0;60;10;10;30;40;20;-10;-130;100;-10;-20;-30;-10;40;40;-20;-170;
-10;20;20;20;-40;-250;-110;10;0;-10;-20;0;10;60;110;-20;0;-20;-10;-30;-30;-30;-110;-10;0;0;10;-20;-70;-30;-20;-70;-10;-20;0;-10;30;30;-10;30;-20;-20;-10;10;10;140;40;-20;10;-10;0;-10;0;50;10;0;0;-10;10;10;20;-10;-20;30;
-20;0;10;-40;0;60;-50;-30;-20;0;-30;-10;20;-20;50;30;-30;-10;-10;0;10;0;-90;160;0;0;20;20;-30;40;-60;-120;10;-20;0;-10;-30;30;-20;30;-10;-10;0;10;-20;-90;30;-30;10;10;-10;-10;60;-20;-10;-70;-10;-10;10;20;0;20;-70;-10;
0;10;-10;0;0;-100;-60;-10;-20;-20;-10;-10;-60;0;-40;-10;-10;0;10;-10;0;50;120;30;-10;-20;-20;0;30;-20;20;-150;-10;20;0;-10;20;60;50;130;10;20;40;-20;-20;-90;-30;-20;-20;-20;-20;0;-50;10;80;-20;0;0;-10;-10;40;40;-40;70;
20;10;0;10;40;30;60;-80;10;-20;-20;-20;60;-20;-40;40;-10;10;20;10;30;20;-60;40;-20;-20;-30;-20;0;-90;70;10;-30;0;-10;-20;0;210;150;-30;-20;-10;10;0;30;-140;-30;0;-10;-10;0;-10;60;0;0;-10;0;20;-10;-10;0;20;-70;-10;
-10;-10;-20;-20;-10;-50;-110;-130;-30;-10;-20;0;10;100;-20;10;-20;10;0;0;30;-40;-160;-30;0;-30;10;0;-40;-10;-70;50;-30;0;10;0;-30;-30;80;-80;30;20;10;-20;-60;-20;-20;0;-10;-10;-10;0;0;0;70;-10;-10;-20;0;-20;60;-110;-10;-40;
-30;-20;-20;-20;-30;70;50;-30;0;-10;0;10;20;130;20;0;-10;10;30;40;-90;-40;-60;-30;30;10;20;-10;-20;-30;10;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;10;20;10;20;-10;-80;20;-10;-10;-30;0;-20;-80;-170;-30;-60;-50;-50;40;0;-10;60;10;10;20;10;-20;-30;100;60;20;10;-10;0;-20;0;10;30;10;-30;-10;-30;-80;-90;-130;40;-10;10;10;10;10;-40;40;40;0;20;0;-20;40;80;-60;70;
-30;0;-10;-10;0;-60;-50;-130;10;10;20;30;-40;180;220;80;0;-10;-20;0;30;40;20;-40;20;-10;0;-20;100;-20;80;-100;30;30;20;30;-10;0;-10;0;20;10;10;-10;-30;-80;-70;-10;-10;0;-10;10;-50;-50;-10;-40;-30;20;-20;-10;30;-80;-60;50;
