-10;40;60;160;880;50;50;30;10;40;10;-40;-330;10;-20;-50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-70;-10;-30;20;-30;-20;0;0;-100;-30;-20;70;790;20;10;50;60;40;-10;-60;-220;-40;0;0;0;-20;0;0;-210;-70;-40;-30;-10;10;-20;-20;60;0;-10;10;40;-10;-10;100;-120;30;-20;-50;-80;-100;-60;0;-90;-30;-10;0;-20;0;-10;-90;-520;-80;-40;-20;
-10;10;10;-70;0;10;20;-60;50;-20;30;50;160;20;10;80;-60;-120;-90;-70;-190;-30;-20;-10;10;0;-20;70;-60;-50;-20;-20;30;30;0;-40;-60;10;10;20;-10;-10;10;30;-60;0;0;-10;40;50;-10;-10;-90;0;70;40;0;-10;-10;-30;10;-30;0;-20;
-10;0;-20;-10;190;10;30;10;60;-20;-10;70;60;-10;-20;-10;40;60;20;-60;-60;30;40;30;0;0;-10;-30;60;-60;-20;-30;-30;-10;10;20;40;50;30;20;20;10;20;60;180;50;10;-20;-10;10;20;-20;-70;-30;-10;0;-20;20;10;80;130;-10;-10;-20;
-60;-110;-40;10;20;-10;-10;0;-40;-30;-10;-50;-310;-40;-60;-40;-10;0;-10;-50;-30;-30;0;20;-40;10;40;90;50;-30;20;10;20;20;20;10;390;40;30;20;10;50;40;-90;-200;10;20;10;-70;-40;0;30;-120;70;0;10;0;30;-10;20;100;0;-10;-10;
-50;-80;-20;-40;-30;-20;-10;-30;10;-10;-40;-60;-160;-20;-30;10;-40;0;-10;60;190;-20;40;-10;-90;-110;-30;40;110;-20;-40;-30;20;10;30;-60;-110;10;40;30;-20;-10;-40;-110;-150;-20;-30;-30;30;10;10;10;40;20;30;10;50;50;30;40;70;10;0;10;
-10;10;10;-30;-170;0;10;-10;40;80;50;90;200;40;-10;50;40;-20;-40;-80;-170;-60;-50;0;0;40;-10;30;-190;0;110;80;60;30;40;0;-20;10;30;0;20;40;20;50;30;-20;-20;0;20;50;50;-30;-170;20;20;0;30;30;-10;40;250;-30;-20;50;
40;-30;-30;-60;60;0;-10;-20;-20;-20;-10;20;60;-30;-20;10;0;-20;0;-20;-80;0;10;0;-20;-20;-10;50;200;10;-10;-10;-10;20;20;0;-10;20;-10;20;0;-30;-10;-10;-270;10;-10;20;-40;-50;-20;-10;-20;-20;-20;-70;-10;-20;-30;-10;120;-30;-30;-20;
-60;-30;-10;-20;-40;10;0;-10;30;30;0;-10;110;-10;-40;-50;20;20;20;30;-90;-30;-10;-10;-70;-120;-70;20;80;-10;-20;20;-70;-80;-20;30;240;10;-20;-20;0;20;20;50;20;30;0;70;-20;0;10;10;-140;10;-20;-40;50;10;0;-50;80;20;20;10;
-10;-60;-40;-80;-20;-20;30;100;-10;-40;-20;30;0;-30;-30;-40;30;0;0;-10;180;-10;0;-10;-20;0;-10;-10;-180;-30;-50;-20;20;40;0;10;150;-10;10;-30;10;10;10;0;-40;-10;-20;-20;-60;-40;-10;-70;130;-20;-20;10;10;10;20;70;-70;30;10;10;
30;20;-10;20;50;-50;-10;-10;0;0;50;0;70;-10;0;-20;30;10;-30;-10;-220;20;20;0;-40;-10;-30;-20;310;-30;-30;0;-70;10;30;40;0;-10;-10;40;0;20;-30;-10;90;20;0;30;20;30;20;-60;-130;-10;20;10;-10;-30;-10;0;0;0;10;-20;
