-2,-9,-27,-17,-8,-5,-1,-2
-2,6,-2,8,2,-1,-2,0
-4,-10,1,-14,-1,-5,-4,-3
-1,2,10,4,2,-1,-3,-1
0,4,24,-3,-1,-2,1,1
3,5,-39,6,3,3,-1,1
-2,2,3,17,4,3,-1,-1
1,-7,-9,-27,-10,-5,-4,-4
-1,-25,-39,-27,-12,-8,-4,-4
1,1,23,-6,-8,-1,1,1
10,33,34,12,2,1,2,2
-5,-7,-5,9,2,-1,-1,0
-2,1,-14,-5,-2,-2,-2,-1
-1,0,39,22,9,2,0,0
-4,-27,-23,-25,-12,-5,-5,-6
-3,-12,-7,-5,-5,0,-1,-2
-1,5,-6,1,-1,-2,-1,1
-3,2,-8,-5,-2,-3,-3,-2
2,1,16,7,-1,0,1,1
-1,-1,-8,6,4,-1,-1,-2
-5,-3,8,-1,1,0,1,0
-3,2,1,8,5,1,0,1
-1,-10,-14,-8,-8,-8,-4,-4
3,6,29,-13,-7,-3,-1,2
-2,5,-37,2,-1,2,2,0
-2,-6,-12,-18,-4,-4,-3,-6
-2,12,22,6,4,2,2,0
-4,-7,-22,1,-3,-4,-1,-4
4,4,22,0,-3,-3,-2,-2
2,3,1,2,-5,-3,-2,0
-6,-13,-19,-9,-6,-3,-2,-2
2,-7,-15,2,0,-1,-1,3
-1,0,42,10,4,2,0,-5
2,-5,-59,-8,-2,-5,-3,-2
2,-5,34,-10,-3,-1,-2,-4
-1,-3,-28,-7,-4,-2,-2,-1
0,5,-13,2,-2,-2,-3,-1
-4,-15,-7,-9,-4,-1,-2,-2
1,18,42,14,3,1,-1,2
-10,-11,-32,-13,-7,-7,-6,-11
1,-3,-22,-2,-1,-3,-3,0
1,-5,9,1,1,0,0,-2
0,4,-5,1,1,1,-1,2
2,4,24,11,3,2,2,0
-1,-12,-23,-6,-6,-2,0,1
-5,21,53,23,6,3,-1,-1
-3,-21,-58,-20,-6,-4,-3,-5
0,7,30,-6,-4,-1,0,2
-2,-9,7,-1,-2,0,-1,-1
3,1,15,0,-4,-1,-1,2
2,23,20,13,8,2,2,-2
-3,-5,-32,7,1,-1,-1,-2
0,-5,-7,-15,0,-2,0,-4
3,-1,17,5,-5,-3,-3,-1
-1,3,13,-2,-2,0,-1,2
-6,-3,-29,2,2,0,-2,-2
1,-3,19,-1,-1,-1,-1,-1
-3,9,-19,-19,-5,-2,1,1
3,-16,-27,-17,-10,-5,-3,-3
1,11,17,3,0,0,0,1
-4,5,4,16,3,0,-2,0
-3,-5,6,5,6,2,-1,-2
-12,-15,-30,9,-3,-4,-3,-5
8,7,3,-12,-2,1,2,0
-2,11,11,-5,-2,-3,-1,-2
2,-2,26,4,3,2,1,-1
-1,7,-9,1,0,-1,-1,0
-4,-17,-23,13,4,0,-1,-4
4,-3,11,-8,-4,-3,-1,0
-6,-8,-37,-6,-7,-3,-2,-1
6,8,25,5,3,0,0,1
-2,-3,-7,-6,-4,-3,-4,-1
0,-1,-6,-3,0,2,2,0
-3,-6,-18,0,-4,-3,0,2
-1,-4,1,9,4,2,1,-2
0,5,7,-9,-4,-3,-1,-1
-2,-9,2,-1,-6,-2,-3,-2
-4,-10,-19,-8,-3,-2,-4,-9
-2,0,-3,-5,0,1,1,0
2,9,44,11,5,1,2,6
-9,-6,-52,10,2,-2,-4,-17
3,2,-1,-21,-6,-4,-5,-4
2,0,18,2,-2,-2,-1,0
-3,-8,-26,-5,0,-1,-2,-12
5,12,27,-1,-1,-1,1,6
1,-7,-12,2,0,1,1,6
-9,-6,5,-4,-3,-3,-4,-6
-4,-5,6,4,2,0,-1,1
-1,-4,-7,-6,-1,-2,1,0
-1,-6,1,8,1,-1,1,-3
-4,-11,-17,-11,-4,-2,-2,1
-1,9,-22,4,4,2,-2,1
-1,-11,13,-16,-8,-4,-5,-2
2,-6,0,-18,-11,-4,-3,0
2,-2,3,-2,0,1,2,7
-8,-4,7,6,-3,-1,-1,-8
0,6,-11,4,4,1,0,3
-2,2,-2,8,3,0,-2,-3
-3,2,-2,1,-2,-2,-1,-7
