5,23,-8,-1,-1,0,-11,-4
-6,-14,-4,-1,-2,-2,3,-1
1,7,1,2,2,1,-1,-6
-3,3,1,-4,-3,-13,-51,-10
-2,-10,1,-1,-2,2,5,-8
0,-1,-4,-4,-7,-5,-13,-2
2,-2,11,2,3,3,1,4
-6,-16,-36,-5,-3,0,-18,3
2,-3,0,-2,-1,4,19,24
16,34,-2,-7,-7,-12,-11,-20
-6,-73,-20,0,3,10,14,8
-2,46,31,3,-3,-5,20,-3
0,-18,-18,1,-1,-3,-11,-1
-14,11,10,2,1,0,5,5
-6,18,20,2,0,0,6,-9
6,-9,-40,-10,-3,-3,-8,0
-13,-17,6,-3,-2,-3,-3,-7
-11,0,-3,-2,-1,0,-3,-4
8,-21,-5,4,1,-5,-19,-5
-3,24,39,8,2,4,22,22
-2,-8,-31,-7,-5,-4,-7,-13
2,-7,9,1,2,0,-19,4
16,16,16,0,-2,-2,7,8
-9,-32,-46,-10,-5,0,0,-2
5,23,10,1,-2,-2,-8,-3
3,-5,20,6,5,3,24,2
-16,-31,-51,-14,-7,-7,-14,-8
5,3,22,6,5,9,29,17
4,20,6,1,3,-5,-17,-9
-28,-20,-5,-6,-6,-5,-15,-14
5,51,4,-4,-6,-4,3,-6
6,-25,34,9,3,1,25,18
-2,-8,-32,-6,-2,3,5,9
1,-48,-42,-2,-1,1,-3,1
4,54,42,5,3,0,-8,4
-1,-1,-5,-3,-3,-6,-33,-11
-19,1,13,-4,-3,-3,0,-6
8,9,-6,-6,-4,-4,2,0
-8,-23,5,4,-2,0,-2,-6
2,3,-23,-2,4,7,17,-10
1,13,28,8,-1,-1,0,-5
-13,-3,-10,-7,-3,-4,-19,-12
-5,-63,-43,-13,-6,-5,-4,-4
3,40,25,5,1,-1,-7,-9
-3,-28,3,0,0,2,5,21
6,21,0,2,0,2,9,-1
0,4,5,2,1,7,6,1
-11,-4,-2,-5,-7,-16,-42,-18
-5,-10,-11,-8,-2,5,30,-19
13,10,15,6,3,-3,-16,5
-4,7,-10,-4,-3,-4,-20,-5
25,5,6,2,1,5,23,11
-1,-6,10,-1,-4,-9,-24,-5
0,8,-21,-3,-1,1,8,3
-10,33,3,0,-1,-3,-4,-9
0,-27,-1,-2,0,0,4,4
7,39,38,11,2,2,10,-3
-4,-43,-52,-12,-6,-7,-3,-3
8,2,10,6,4,1,3,12
-20,-3,-44,-17,-9,-4,-3,-9
0,-14,1,2,1,6,2,6
-13,10,16,-1,-1,0,14,6
6,-17,-4,1,0,-4,-3,4
5,24,27,13,6,13,45,11
-7,-18,-25,-10,-10,-15,-48,-8
-7,-23,-4,-1,-2,0,-5,-26
2,-37,-8,-1,-1,-1,-3,-1
-3,0,19,3,2,2,0,-7
3,15,5,1,-1,2,7,17
-3,-9,4,1,-3,-5,-6,1
-5,5,-1,-6,-5,-3,0,-9
-7,-8,2,2,-1,-4,-15,-4
10,-2,-12,-1,2,1,6,-3
-13,9,6,-2,-2,-3,-9,-4
3,6,1,1,0,-1,3,-1
-14,-6,-8,-5,-6,-5,-7,-2
-1,-5,-11,-3,-5,-3,-2,-4
7,10,15,1,1,4,7,8
6,-8,-24,-12,-8,-7,-5,0
1,32,13,6,4,2,-9,-1
-17,-35,-18,-11,-5,-5,-6,-14
16,24,35,13,6,4,2,8
-6,14,-16,-8,-3,-3,-4,-7
10,18,15,0,1,-1,-5,0
-2,-21,-9,0,1,3,1,-3
-5,22,12,-1,-1,0,-2,3
-6,-3,1,0,-1,-2,2,-3
-2,-14,-10,-5,-4,-4,-4,-6
0,13,11,3,3,0,-3,2
-3,-19,-12,-4,-2,-2,-3,-3
-11,1,5,0,-1,0,-2,-2
-15,-37,-4,-2,-3,-4,-7,-9
26,0,-14,-1,0,3,7,9
-11,-3,-4,-7,-2,-4,-5,-7
-3,-22,-42,-9,-3,-2,0,-1
-18,0,21,-2,-4,-3,-2,-2
16,22,14,8,4,-1,1,7
0,-13,-37,-9,-3,-5,-2,-3
-31,8,68,15,3,2,-1,-8
10,0,-5,-3,3,6,0,4
-4,-25,-75,-21,-6,0,1,5
5,10,3,-1,-5,-9,-9,-12
14,5,-1,1,-1,-10,-4,13
22,42,69,35,21,33,54,30
-63,0,91,25,5,11,-19,-51
-21,-64,-96,-60,-31,-34,-39,-18
-44,-37,-47,-39,-19,5,42,-13
19,18,65,26,7,2,-19,7
34,32,83,43,18,15,41,25
43,33,43,8,-7,-72,-87,28
39,30,-90,-48,-18,-7,-6,-26
-67,-50,-30,-25,-17,-35,-37,-44
15,22,38,10,5,6,19,2
22,19,60,39,15,19,24,29
68,26,48,47,50,76,75,89
98,44,-19,-5,1,11,48,108
-60,-36,-44,-19,-20,-36,-86,-97
-99,-39,-59,-48,-49,-33,-75,-86
30,-26,6,3,0,-45,-32,68
45,1,-12,10,16,41,61,37
-1,-11,-19,-7,3,-12,-3,23
13,10,3,4,7,21,25,-1
68,14,36,17,6,22,41,49
-90,-39,-18,-16,-21,-37,-75,-115
-37,-1,-28,-24,-13,11,58,13
-35,10,63,32,16,-24,-70,-88
-8,-3,-29,-14,-14,-12,-36,8
126,56,71,53,47,54,86,114
-42,-67,-118,-83,-64,-76,-93,-32
-17,-7,5,-11,10,64,127,32
24,29,84,19,-3,-15,0,-7
-68,-12,61,7,-19,-20,13,-47
35,6,-26,4,19,2,-35,-16
58,8,-16,13,27,46,46,63
-31,-3,-2,-8,-5,-9,2,-52
-12,15,30,6,10,74,101,16
-3,15,91,27,-5,-46,-77,15
39,-15,-45,-16,-6,-1,87,40
-48,-4,10,4,-4,-23,-58,-95
-29,-11,-47,-25,-27,-69,-38,-32
